[BrainBitSignalData(PackNum=86, Marker=0, O1=0.04254612211811268, O2=0.20832043487590302, T3=0.05151257659204158, T4=0.15830283956798513), BrainBitSignalData(PackNum=86, Marker=0, O1=0.04684567150656844, O2=0.1958204229549627, T3=0.06401220704289154, T4=0.1458028276470448)]
[BrainBitSignalData(PackNum=87, Marker=0, O1=-0.03326609922990725, O2=0.38177145173211263, T3=-0.017544572395870588, T4=0.3284098896120926), BrainBitSignalData(PackNum=87, Marker=0, O1=-0.04576611115084758, O2=0.3942710821829626, T3=-0.03004458431681091, T4=0.34090952006294256)]
[BrainBitSignalData(PackNum=88, Marker=0, O1=0.029887418639582292, O2=0.2605196576305939, T3=0.03599704360679971, T4=0.2017862336981141), BrainBitSignalData(PackNum=88, Marker=0, O1=0.042387049090432255, O2=0.2480196457096536, T3=0.048496674057649666, T4=0.1892862217771738)]
[BrainBitSignalData(PackNum=89, Marker=0, O1=-0.02115251651050235, O2=0.33307030970602963, T3=-0.0012386333834012828, T4=0.2821902105238061), BrainBitSignalData(PackNum=89, Marker=0, O1=-0.033652528431442674, O2=0.3455699401568796, T3=-0.013738645304341606, T4=0.2946898409746561)]
[BrainBitSignalData(PackNum=90, Marker=0, O1=0.015557876165271918, O2=0.31214324201893046, T3=0.01927186896502396, T4=0.24682068521564982), BrainBitSignalData(PackNum=90, Marker=0, O1=0.028057506616121882, O2=0.29964323009799015, T3=0.03177149941587393, T4=0.2343206732947095)]
[BrainBitSignalData(PackNum=91, Marker=0, O1=-0.007176215339866009, O2=0.27934787688052837, T3=0.01633531220942708, T4=0.23378127458693942), BrainBitSignalData(PackNum=91, Marker=0, O1=-0.019676227260806332, O2=0.2918475073313783, T3=0.003835300288486756, T4=0.24628090503778938)]
[BrainBitSignalData(PackNum=92, Marker=0, O1=0.00191345397324941, O2=0.36044155162959257, T3=0.00396347423884796, T4=0.2914076723171924), BrainBitSignalData(PackNum=92, Marker=0, O1=0.014413084424099373, O2=0.3479415397086522, T3=0.016463104689697923, T4=0.2789076603962521), BrainBitSignalData(PackNum=93, Marker=0, O1=0.007647330901461508, O2=0.22430097990129463, T3=0.033936723648761415, T4=0.18586062036573445), BrainBitSignalData(PackNum=93, Marker=0, O1=-0.004852681019478816, O2=0.23680061035214459, T3=0.021436711727821092, T4=0.19836025081658443)]
[BrainBitSignalData(PackNum=94, Marker=0, O1=-0.012301647473952746, O2=0.4, T3=-0.011698543261092435, T4=0.3328605011563312), BrainBitSignalData(PackNum=94, Marker=0, O1=0.00019798297689721766, O2=0.38749998807905967, T3=0.0008010871897575281, T4=0.3203604892353909)]
[BrainBitSignalData(PackNum=95, Marker=0, O1=0.022491476527668502, O2=0.1720826836420857, T3=0.05037579572276661, T4=0.14129156235843884), BrainBitSignalData(PackNum=95, Marker=0, O1=0.009991464606728178, O2=0.18458231409293566, T3=0.03787578380182629, T4=0.1537911928092888)]
[BrainBitSignalData(PackNum=96, Marker=0, O1=-0.02575571609088525, O2=0.4, T3=-0.02597620580311375, T4=0.36835057101304153), BrainBitSignalData(PackNum=96, Marker=0, O1=-0.013256085640035286, O2=0.38749998807905967, T3=-0.013476575352263787, T4=0.35585055909210117)]
